vi,vj,adjacency
0,6,0.0954421062049273
0,3,-3.8816882926685276e-17
0,1,0.1365565317090922
0,2,0.1364851653933607
0,4,0.2499999999999999
0,5,-3.8816882926685276e-17
0,7,0.1425513783233719
1,4,0.3865565317090922
2,6,0.2319272715982881
2,7,0.2790365437167327
4,7,0.3925513783233719
