vi,vj,adjacency
0,3,3.707354975588777e-17
0,4,3.707354975588777e-17
0,8,0.0957798552710932
0,2,3.707354975588777e-17
0,5,0.2390312613677377
0,7,0.1912250090941902
0,6,0.1915597105421863
0,1,0.1368752634463195
1,5,0.3759065248140573
5,6,0.4305909719099241
6,7,0.3827847196363766
7,8,0.2870048643652834
