vi,vj,adjacency
0,1,0.0915258500218692
0,4,0.1495417560857374
0,3,-3.122338328275435e-17
0,5,0.1006889443942734
0,6,-3.122338328275435e-17
0,2,0.1820079538528828
1,2,0.2735338038747521
2,4,0.3315497099386202
4,5,0.2502307004800108
